,ntaname,borough,area,health,trees/sq.mile,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,properties/sq.mile
0,airport,queens,8.19,14.32,18.94,1995.03,4694.5,0.24
1,allerton-pelham gardens,bronx,1.14,13.94,3174.61,18.24,512.24,4713.98
2,annadale-huguenot-prince's bay-eltingville,staten island,5.06,13.42,2477.99,19.11,619.14,1657.99
3,arden heights,staten island,1.81,13.91,3721.3,9.66,448.19,4259.39
4,astoria,queens,1.41,14.04,2964.63,42.31,895.98,5774.05
5,auburndale,queens,1.23,14.17,4111.8,24.66,734.7,4375.37
6,baisley park,queens,1.58,14.19,2877.19,21.58,495.6,4818.11
7,bath beach,brooklyn,0.74,14.28,2268.6,21.57,751.62,5926.05
8,battery park city-lower manhattan,manhattan,0.68,13.78,1856.18,346.17,3078.14,13389.16
9,bay ridge,brooklyn,2.41,14.19,2741.32,34.3,968.26,4463.46
10,bayside-bayside hills,queens,2.9,13.93,3266.8,26.36,807.61,3790.56
11,bedford,brooklyn,1.17,13.9,3065.53,15.96,504.11,8003.02
12,bedford park-fordham north,bronx,0.54,13.76,3198.82,70.63,1152.21,2793.62
13,bellerose,queens,1.98,13.57,3059.41,35.73,659.01,2843.7
14,belmont,bronx,0.49,13.93,2905.6,53.75,1118.79,2572.47
15,bensonhurst east,brooklyn,1.28,14.02,2527.75,21.24,645.2,6993.38
16,bensonhurst west,brooklyn,1.67,14.24,2443.74,22.56,797.71,6688.46
17,borough park,brooklyn,1.94,14.19,2947.09,27.18,832.9,7057.23
18,breezy point-belle harbor-rockaway park-broad channel,queens,3.57,12.46,992.77,32.33,605.89,1507.52
19,briarwood-jamaica hills,queens,1.05,14.18,2981.78,45.0,796.05,3847.58
20,brighton beach,brooklyn,0.62,13.3,1851.51,23.74,453.47,7503.42
21,bronxdale,bronx,0.54,13.85,2529.82,44.68,734.38,3209.09
22,brooklyn heights-cobble hill,brooklyn,0.36,13.69,4705.22,107.08,2046.97,8106.38
23,brownsville,brooklyn,1.17,14.22,2533.13,36.38,591.36,3771.15
24,bushwick north,brooklyn,0.89,13.15,3629.08,25.55,594.56,6010.07
25,bushwick south,brooklyn,1.44,13.86,3007.88,29.97,692.93,5185.02
26,cambria heights,queens,1.19,13.92,2611.96,15.31,414.8,4381.92
27,canarsie,brooklyn,2.94,13.54,1913.14,22.35,468.14,4701.02
28,carroll gardens-columbia street-red hook,brooklyn,1.6,13.64,2585.24,39.33,1076.76,4751.06
29,central harlem north-polo grounds,manhattan,0.91,13.84,3681.86,86.22,1171.44,4706.85
30,central harlem south,manhattan,0.52,13.36,4797.86,60.56,843.53,9576.42
31,charleston-richmond valley-tottenville,staten island,5.23,13.93,1513.77,32.95,631.46,1283.17
32,chinatown,manhattan,0.52,13.75,2695.21,219.88,1994.48,6293.94
33,claremont-bathgate,bronx,0.59,13.08,2606.25,56.35,1100.91,2067.37
34,clinton,manhattan,0.66,13.28,2864.94,196.61,1946.54,11353.5
35,clinton hill,brooklyn,0.74,14.18,3850.08,25.96,782.23,7450.28
36,co-op city,bronx,1.43,14.16,1420.74,111.56,1882.17,876.24
37,college point,queens,1.81,13.32,1816.5,38.38,701.12,2890.74
38,corona,queens,0.72,13.47,2535.11,29.51,766.67,5638.05
39,crotona park east,bronx,0.59,14.22,2275.41,39.29,758.34,1998.67
40,crown heights north,brooklyn,1.85,13.79,3338.23,25.21,754.84,5244.17
41,crown heights south,brooklyn,0.57,13.91,3342.29,34.28,884.35,4735.35
42,cypress hills-city line,brooklyn,0.99,14.04,3415.92,18.8,471.1,6001.84
43,cypress hills-city line,queens,0.99,15.0,1.01,18.8,471.1,6001.84
44,douglas manor-douglaston-little neck,queens,2.45,13.88,2823.13,48.31,961.37,2460.36
45,dumbo-vinegar hill-downtown brooklyn-boerum hill,brooklyn,1.02,13.4,2820.35,84.6,1477.08,6599.09
46,dyker heights,brooklyn,1.07,14.06,2876.29,20.94,815.27,7112.42
