ntaname,borough,count,avg.land value/acre,property value,avtot
airport,queens,2,1995033.50,4694500.00,2000580.00
allerton-pelham gardens,bronx,5359,18238.83,512238.43,59657.46
annadale-huguenot-prince's bay-eltingville,staten island,8389,19106.56,619139.35,55649.67
arden heights,staten island,7702,9655.68,448189.23,33080.58
astoria,queens,8147,42314.69,895983.50,178549.60
auburndale,queens,5362,24656.55,734703.05,63072.20
baisley park,queens,7611,21575.59,495599.21,72845.57
bath beach,brooklyn,4365,21574.50,751624.78,74750.89
battery park city-lower manhattan,manhattan,9132,346168.89,3078140.19,1375168.35
bay ridge,brooklyn,10756,34304.95,968262.91,139086.58
bayside-bayside hills,queens,10986,26355.88,807613.59,80191.13
bedford,brooklyn,9367,15958.90,504106.48,94880.51
bedford park-fordham north,bronx,1503,70626.04,1152205.94,419642.23
bellerose,queens,5629,35733.60,659013.87,88094.00
belmont,bronx,1251,53751.80,1118789.78,405826.29
bensonhurst east,brooklyn,8975,21238.79,645198.56,74897.27
bensonhurst west,brooklyn,11197,22559.87,797713.29,82151.30
borough park,brooklyn,13671,27179.01,832896.10,105308.66
breezy point-belle harbor-rockaway park-broad channel,queens,5377,32332.59,605891.96,77977.96
briarwood-jamaica hills,queens,4044,44996.10,796049.70,154151.14
brighton beach,brooklyn,4624,23739.08,453469.89,121520.69
bronxdale,bronx,1748,44682.02,734381.53,211219.07
brooklyn heights-cobble hill,brooklyn,2903,107079.04,2046966.95,517850.85
brownsville,brooklyn,4426,36383.08,591357.88,152345.08
bushwick north,brooklyn,5374,25553.24,594561.78,106338.01
bushwick south,brooklyn,7471,29971.04,692928.48,131882.23
cambria heights,queens,5199,15305.50,414800.66,32638.06
canarsie,brooklyn,13844,22346.85,468144.36,56525.40
carroll gardens-columbia street-red hook,brooklyn,7601,39330.30,1076756.83,139694.30
central harlem north-polo grounds,manhattan,4289,86221.35,1171438.16,422305.59
central harlem south,manhattan,4960,60556.59,843532.64,281109.26
charleston-richmond valley-tottenville,staten island,6705,32953.43,631462.92,75825.02
chinatown,manhattan,3274,219877.77,1994476.39,834257.04
claremont-bathgate,bronx,1220,56346.69,1100913.89,422261.22
clinton,manhattan,7478,196609.22,1946540.38,819463.98
clinton hill,brooklyn,5486,25964.50,782228.82,144959.38
co-op city,bronx,1252,111556.38,1882173.02,715309.15
college point,queens,5242,38383.78,701116.88,108722.12
corona,queens,4061,29510.54,766674.05,139975.72
crotona park east,bronx,1170,39291.16,758335.51,236175.67
crown heights north,brooklyn,9710,25209.41,754835.59,141573.73
crown heights south,brooklyn,2716,34280.81,884351.25,191378.13
cypress hills-city line,brooklyn,5944,18801.27,471096.50,48909.18
douglas manor-douglaston-little neck,queens,6036,48313.93,961370.29,107326.05
dumbo-vinegar hill-downtown brooklyn-boerum hill,brooklyn,6741,84604.51,1477083.95,476725.42
dyker heights,brooklyn,7631,20941.78,815267.24,64177.22
east concourse-concourse village,bronx,1541,44184.53,1358254.40,509295.68
east elmhurst,queens,3385,22556.25,674047.50,95246.63
east flatbush-farragut,brooklyn,7577,22829.29,516729.72,73108.34
east flushing,queens,4734,26042.53,769564.69,64719.33
east harlem north,manhattan,2405,153346.85,1703956.50,652425.77
east harlem south,manhattan,1917,203678.81,2793585.92,1198972.40
east new york,brooklyn,11977,37713.18,525460.33,107865.52
east new york (pennsylvania ave),brooklyn,3560,23949.03,487789.74,96026.61
east tremont,bronx,1898,38013.93,836785.60,269226.64
east village,manhattan,2992,197080.37,2281192.57,785294.51
east williamsburg,brooklyn,4866,44961.12,774257.45,160607.15
eastchester-edenwald-baychester,bronx,4627,27042.22,547831.52,92691.53
elmhurst,queens,7682,36036.05,851916.23,187293.98
elmhurst-maspeth,queens,4023,34029.14,751450.15,119092.39
erasmus,brooklyn,3064,29679.62,634387.15,121785.79
far rockaway-bayswater,queens,5306,26767.01,570971.17,106167.55
flatbush,brooklyn,6308,45181.98,1032451.51,211216.09
flatlands,brooklyn,11450,19314.24,523321.66,57849.50
flushing,queens,10728,45876.58,542057.16,193872.48
fordham south,bronx,581,74590.55,1311048.41,526158.43
forest hills,queens,9220,50057.76,1120054.94,212113.09
fort greene,brooklyn,2833,62247.88,1608302.92,355630.55
fresh meadows-utopia,queens,2869,43831.21,904261.94,125085.08
ft. totten-bay terrace-clearview,queens,4533,60198.22,786320.46,128516.20
georgetown-marine park-bergen beach-mill basin,brooklyn,11982,22667.77,582922.51,61102.78
glen oaks-floral park-new hyde park,queens,4126,61454.67,885623.14,179274.05
glendale,queens,6735,24667.68,605061.38,68421.64
gramercy,manhattan,2613,283662.02,2990063.33,1150796.01
grasmere-arrochar-ft. wadsworth,staten island,3830,20217.26,489128.20,60880.00
gravesend,brooklyn,3743,39075.06,624854.98,107543.78
great kills,staten island,12740,14546.98,465362.68,41999.23
greenpoint,brooklyn,5876,34350.66,771145.43,131989.91
grymes hill-clifton-fox hills,staten island,4104,24340.95,449708.41,73889.27
hamilton heights,manhattan,2205,59376.88,1091900.01,315907.56
hammels-arverne-edgemere,queens,4293,42089.35,463326.40,104477.96
highbridge,bronx,1056,45094.75,918005.03,315807.80
hollis,queens,3641,18518.18,472063.72,44287.11
homecrest,brooklyn,6054,28684.21,1015409.06,110142.66
hudson yards-chelsea-flatiron-union square,manhattan,10007,314228.68,3319870.43,1360488.58
hunters point-sunnyside-west maspeth,queens,8434,75334.80,1128953.07,399446.20
hunts point,bronx,1747,103639.67,1205916.10,474257.25
jackson heights,queens,9070,138309.29,1475550.75,456041.32
jamaica,queens,5623,61853.93,853478.35,244556.67
jamaica estates-holliswood,queens,4190,38199.66,871462.86,102482.96
kensington-ocean parkway,brooklyn,3037,31140.85,802754.45,117906.44
kew gardens,queens,2440,59641.29,837514.40,213214.69
kew gardens hills,queens,5147,45544.13,817548.79,167658.78
kingsbridge heights,bronx,741,77592.55,2101563.25,840510.00
laurelton,queens,6330,15803.04,449844.72,36573.74
lenox hill-roosevelt island,manhattan,8410,232086.96,2164704.17,890099.86
lincoln square,manhattan,11701,194375.23,1644664.30,690560.32
lindenwood-howard beach,queens,6417,17863.77,471858.25,52798.50
longwood,bronx,1229,35499.86,800672.48,251507.30
lower east side,manhattan,1825,309158.16,3120486.25,1244212.85
madison,brooklyn,6529,23470.96,677076.24,82471.05
