,ntaname,borough,count,shape_area,health,trees/sq.mile
0,airport,queens,155,8.185520174113295,14.32258064516129,18.935876609306696
1,allerton-pelham gardens,bronx,3609,1.1368315372977815,13.941535051260738,3174.6128442024906
2,annadale-huguenot-prince's bay-eltingville,staten island,12538,5.059751935870848,13.418408039559738,2477.987094804491
3,arden heights,staten island,6729,1.8082392050151919,13.910685094367663,3721.299693833077
4,astoria,queens,4183,1.4109674008407433,14.040162562754004,2964.632632552322
5,auburndale,queens,5039,1.2254976998895015,14.173447112522325,4111.798823004195
6,baisley park,queens,4545,1.579666567776452,14.188118811881187,2877.1894605565835
7,bath beach,brooklyn,1671,0.7365781685462262,14.284859365649313,2268.5983258206375
8,battery park city-lower manhattan,manhattan,1266,0.6820441237516998,13.775671406003159,1856.1848946607026
9,bay ridge,brooklyn,6606,2.409788466744547,14.187859521646988,2741.319452376763
10,bayside-bayside hills,queens,9468,2.8982506151469623,13.930608365019012,3266.7982370185414
11,bedford,brooklyn,3588,1.1704326280273898,13.900501672240802,3065.53313200701
12,bedford park-fordham north,bronx,1721,0.5380109143925184,13.762347472399767,3198.81986398589
13,bellerose,queens,6056,1.9794638342409498,13.572490092470277,3059.4143197984968
14,belmont,bronx,1413,0.4863026525123361,13.934890304317056,2905.597970112154
15,bensonhurst east,brooklyn,3244,1.283357279693176,14.024352651048089,2527.745041330636
16,bensonhurst west,brooklyn,4091,1.6740763281643403,14.242239061354192,2443.735647636728
17,borough park,brooklyn,5709,1.9371635046487128,14.185496584340514,2947.0924815070143
18,breezy point-belle harbor-rockaway park-broad channel,queens,3541,3.5667770401564614,12.458345100254165,992.773016124571
19,briarwood-jamaica hills,queens,3134,1.0510505292090497,14.183152520740268,2981.7786232964827
20,brighton beach,brooklyn,1141,0.616252645768774,13.304119193689745,1851.5133490041324
21,bronxdale,bronx,1378,0.5447029789586317,13.846153846153847,2529.819100006527
22,brooklyn heights-cobble hill,brooklyn,1685,0.35811310796601503,13.688427299703264,4705.217325247717
23,brownsville,brooklyn,2973,1.1736457570735996,14.219643457786747,2533.132320448173
24,bushwick north,brooklyn,3245,0.8941663502675294,13.152542372881356,3629.078637357707
25,bushwick south,brooklyn,4334,1.440880838312225,13.860175357637287,3007.882320842457
26,cambria heights,queens,3099,1.1864668640560077,13.923846402065182,2611.9566368721703
27,canarsie,brooklyn,5634,2.944891263673986,13.537451189208378,1913.14364285598
28,carroll gardens-columbia street-red hook,brooklyn,4136,1.5998543399728218,13.64482591876209,2585.2353534073995
29,central harlem north-polo grounds,manhattan,3355,0.9112246058704472,13.837555886736215,3681.858433569336
30,central harlem south,manhattan,2485,0.5179387855687364,13.35814889336016,4797.864282882928
31,charleston-richmond valley-tottenville,staten island,7910,5.22535769750042,13.929203539823009,1513.771966995445
32,chinatown,manhattan,1402,0.5201829430777801,13.748216833095578,2695.205636126301
33,claremont-bathgate,bronx,1538,0.5901205169163037,13.081924577373211,2606.2472934119883
34,clinton,manhattan,1887,0.6586514750236653,13.282988871224166,2864.944620267039
35,clinton hill,brooklyn,2835,0.736347750304916,14.17636684303351,3850.0830603828804
36,co-op city,bronx,2030,1.4288372002374665,14.157635467980295,1420.7356860967946
37,college point,queens,3294,1.8133745350630515,13.321190042501518,1816.5028439011728
38,corona,queens,1826,0.7202842151630139,13.474808324205915,2535.110393314314
39,crotona park east,bronx,1332,0.5853895823469177,14.215465465465465,2275.407762912017
40,crown heights north,brooklyn,6181,1.8515795276343754,13.789839831742437,3338.2309038040626
41,crown heights south,brooklyn,1917,0.5735583386492652,13.907146583202922,3342.292964503927
42,cypress hills-city line,brooklyn,3383,0.9903635298079689,14.039314218149572,3415.9173860692977
43,cypress hills-city line,queens,1,0.9903635298080234,15.0,1.009730235314546
44,douglas manor-douglaston-little neck,queens,6926,2.453303271740877,13.883915680046202,2823.132418963137
45,dumbo-vinegar hill-downtown brooklyn-boerum hill,brooklyn,2881,1.0215047694773924,13.39986115931968,2820.349043963775
46,dyker heights,brooklyn,3086,1.0729111860867786,14.06351263771873,2876.2865370576906
47,east concourse-concourse village,bronx,2228,0.653638718211972,13.657989228007182,3408.610808880312
48,east elmhurst,queens,2055,0.7076032207085062,14.063260340632603,2904.1699357195935
49,east flatbush-farragut,brooklyn,2772,1.2325264100917397,14.301948051948052,2249.0390285378744
50,east flushing,queens,2966,1.0565055197357558,14.19925826028321,2807.368200728218
51,east harlem north,manhattan,2403,0.878633580768606,13.491468997086974,2734.9284759841726
52,east harlem south,manhattan,1750,0.5972612334674969,13.254285714285714,2930.04116446683
53,east new york,brooklyn,9162,4.1977191067273205,13.516699410609037,2182.613883172139
54,east new york (pennsylvania ave),brooklyn,2856,0.6957905290547056,13.96358543417367,4104.683637876093
55,east tremont,bronx,2252,0.690683924733833,13.372557726465365,3260.5362878075484
56,east village,manhattan,1512,0.3907798195233485,13.472222222222221,3869.1864944414315
57,east williamsburg,brooklyn,2178,1.4036958297606439,13.914141414141413,1551.618202336178
58,eastchester-edenwald-baychester,bronx,2423,1.4440137975816467,13.992983904250929,1677.9618062222844
59,elmhurst,queens,3169,1.1720668176544913,13.742505522246766,2703.770768241454
60,elmhurst-maspeth,queens,1877,0.7865467865731252,14.022376132125732,2386.380609572925
61,erasmus,brooklyn,1329,0.5209267243277903,14.066967644845748,2551.222538476897
62,far rockaway-bayswater,queens,4702,1.942737742381102,13.33049766056997,2420.2958008305477
63,flatbush,brooklyn,5713,1.6232928541273084,13.913880623140207,3519.3896070412643
64,flatlands,brooklyn,5308,1.9492430054704548,13.980783722682743,2723.108399057151
65,flushing,queens,2912,1.358222604873366,13.648695054945055,2143.9784535698404
66,fordham south,bronx,995,0.22629975942126826,13.768844221105528,4396.823056924944
67,forest hills,queens,7327,2.0742851693212,13.908147945953324,3532.301203502181
68,fort greene,brooklyn,1967,0.5912398681093679,13.802745297407219,3326.9069054662314
69,fresh meadows-utopia,queens,2572,0.9962857774262381,13.969673405909798,2581.588594634357
70,ft. totten-bay terrace-clearview,queens,2788,1.660518230673105,13.814562410329986,1678.9939119607623
71,georgetown-marine park-bergen beach-mill basin,brooklyn,6965,2.4916684954370045,14.165111270638908,2795.3156741175694
72,glen oaks-floral park-new hyde park,queens,6432,1.6380760968562902,14.032960199004975,3926.5575099618127
73,glendale,queens,4099,1.0767022429191553,13.653330080507441,3806.994948656177
74,gramercy,manhattan,1087,0.2699913438271204,13.808647654093836,4026.0550008448517
75,grasmere-arrochar-ft. wadsworth,staten island,2085,1.468010269402074,14.0,1420.2897918753854
76,gravesend,brooklyn,1323,1.1242377712028242,13.631897203325774,1176.7973233851765
77,great kills,staten island,10267,3.2145279050525937,13.617902016168307,3193.9371202416173
78,greenpoint,brooklyn,3292,1.2670022595521273,13.856318347509113,2598.2589811352736
79,grymes hill-clifton-fox hills,staten island,2442,1.3541865163819011,14.082719082719082,1803.2966437477944
80,hamilton heights,manhattan,2299,0.5773694314917476,13.703784254023489,3981.85264858945
81,hammels-arverne-edgemere,queens,2932,2.2201761762153147,12.244201909959072,1320.615918416941
82,highbridge,bronx,1671,0.5903364437880313,13.435068821065231,2830.589264111223
83,hollis,queens,2435,0.8209858838813959,14.344969199178644,2965.9462456138567
84,homecrest,brooklyn,4072,1.0758137940520114,13.586689587426326,3785.0416331463534
85,hudson yards-chelsea-flatiron-union square,manhattan,2841,1.3296452376535004,14.382259767687435,2136.6601553160694
86,hunters point-sunnyside-west maspeth,queens,5015,3.6738770951343254,13.47357926221336,1365.0429424113981
87,hunts point,bronx,3293,1.7838169775777082,13.815669602186457,1846.0414052520405
88,jackson heights,queens,6528,1.7166294557469823,13.741574754901961,3802.8008771172895
89,jamaica,queens,4043,1.696942311793447,13.885728419490478,2382.5205912433617
