ntaname,borough,spc_common,count,area,total,spc_per
airport,queens,american hornbeam,5,8.185520174,168,2.976190476
airport,queens,amur maple,2,8.185520174,168,1.19047619
airport,queens,black locust,8,8.185520174,168,4.761904762
airport,queens,callery pear,9,8.185520174,168,5.357142857
airport,queens,cherry,3,8.185520174,168,1.785714286
airport,queens,crab apple,1,8.185520174,168,0.595238095
airport,queens,dawn redwood,1,8.185520174,168,0.595238095
airport,queens,english oak,2,8.185520174,168,1.19047619
airport,queens,ginkgo,1,8.185520174,168,0.595238095
airport,queens,golden raintree,3,8.185520174,168,1.785714286
airport,queens,hawthorn,2,8.185520174,168,1.19047619
airport,queens,honeylocust,50,8.185520174,168,29.76190476
airport,queens,japanese tree lilac,1,8.185520174,168,0.595238095
airport,queens,japanese zelkova,3,8.185520174,168,1.785714286
airport,queens,littleleaf linden,2,8.185520174,168,1.19047619
airport,queens,london planetree,2,8.185520174,168,1.19047619
airport,queens,mulberry,2,8.185520174,168,1.19047619
airport,queens,northern red oak,3,8.185520174,168,1.785714286
airport,queens,norway maple,1,8.185520174,168,0.595238095
airport,queens,oklahoma redbud,1,8.185520174,168,0.595238095
airport,queens,pin oak,11,8.185520174,168,6.547619048
airport,queens,pine,1,8.185520174,168,0.595238095
airport,queens,red pine,7,8.185520174,168,4.166666667
airport,queens,schumard's oak,3,8.185520174,168,1.785714286
airport,queens,sophora,25,8.185520174,168,14.88095238
airport,queens,tree of heaven,6,8.185520174,168,3.571428571
allerton-pelham gardens,bronx,'schubert' chokecherry,27,1.136831537,3852,0.700934579
allerton-pelham gardens,bronx,american elm,22,1.136831537,3852,0.57113188
allerton-pelham gardens,bronx,american hophornbeam,3,1.136831537,3852,0.07788162
allerton-pelham gardens,bronx,american hornbeam,6,1.136831537,3852,0.15576324
allerton-pelham gardens,bronx,american linden,149,1.136831537,3852,3.868120457
allerton-pelham gardens,bronx,amur cork tree,1,1.136831537,3852,0.02596054
allerton-pelham gardens,bronx,amur maackia,9,1.136831537,3852,0.23364486
allerton-pelham gardens,bronx,amur maple,23,1.136831537,3852,0.59709242
allerton-pelham gardens,bronx,ash,9,1.136831537,3852,0.23364486
allerton-pelham gardens,bronx,atlantic white cedar,7,1.136831537,3852,0.18172378
allerton-pelham gardens,bronx,bald cypress,1,1.136831537,3852,0.02596054
allerton-pelham gardens,bronx,bigtooth aspen,2,1.136831537,3852,0.05192108
allerton-pelham gardens,bronx,black cherry,2,1.136831537,3852,0.05192108
allerton-pelham gardens,bronx,black locust,20,1.136831537,3852,0.5192108
allerton-pelham gardens,bronx,black oak,14,1.136831537,3852,0.36344756
allerton-pelham gardens,bronx,black walnut,8,1.136831537,3852,0.20768432
allerton-pelham gardens,bronx,blue spruce,4,1.136831537,3852,0.10384216
allerton-pelham gardens,bronx,bur oak,1,1.136831537,3852,0.02596054
allerton-pelham gardens,bronx,callery pear,208,1.136831537,3852,5.399792316
allerton-pelham gardens,bronx,catalpa,21,1.136831537,3852,0.54517134
allerton-pelham gardens,bronx,cherry,225,1.136831537,3852,5.841121495
allerton-pelham gardens,bronx,chinese elm,10,1.136831537,3852,0.2596054
allerton-pelham gardens,bronx,chinese fringetree,2,1.136831537,3852,0.05192108
allerton-pelham gardens,bronx,chinese tree lilac,1,1.136831537,3852,0.02596054
allerton-pelham gardens,bronx,common hackberry,11,1.136831537,3852,0.28556594
allerton-pelham gardens,bronx,cornelian cherry,16,1.136831537,3852,0.41536864
allerton-pelham gardens,bronx,crab apple,22,1.136831537,3852,0.57113188
allerton-pelham gardens,bronx,crimson king maple,3,1.136831537,3852,0.07788162
