,ntaname,borough,#trees,area,health,trees/sq.mile,borough_y,#properties,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,avtot,properties/sq.mile
0,airport,queens,155.0,8.185520174113295,14.32258064516129,18.935876609306696,queens,2,1995.0335,4694.5,2000580.0,0.2443338917329896
1,allerton-pelham gardens,bronx,3609.0,1.1368315372977815,13.941535051260738,3174.61284420249,bronx,5359,18.23883,512.23843,59657.46,4713.979005841271
2,annadale-huguenot-prince's bay-eltingville,staten island,12538.0,5.059751935870848,13.418408039559738,2477.987094804491,staten island,8389,19.10656,619.1393499999999,55649.67,1657.986420347334
3,arden heights,staten island,6729.0,1.808239205015192,13.910685094367663,3721.2996938330766,staten island,7702,9.65568,448.18923,33080.58,4259.392219037354
4,astoria,queens,4183.0,1.4109674008407431,14.040162562754006,2964.632632552322,queens,8147,42.31469,895.9835,178549.6,5774.052607555288
5,auburndale,queens,5039.0,1.2254976998895015,14.173447112522323,4111.798823004195,queens,5362,24.65655,734.7030500000001,63072.2,4375.3652091582635
6,baisley park,queens,4545.0,1.579666567776452,14.188118811881187,2877.189460556583,queens,7611,21.575590000000002,495.59921,72845.57,4818.105387083863
7,bath beach,brooklyn,1671.0,0.7365781685462262,14.28485936564931,2268.598325820637,brooklyn,4365,21.5745,751.62478,74750.89,5926.051281991073
8,battery park city-lower manhattan,manhattan,1266.0,0.6820441237516998,13.77567140600316,1856.1848946607024,manhattan,9132,346.16889000000003,3078.14019,1375168.35,13389.16307902175
9,bay ridge,brooklyn,6606.0,2.409788466744547,14.187859521646988,2741.319452376763,brooklyn,10756,34.30495,968.26291,139086.58,4463.462311499313
10,bayside-bayside hills,queens,9468.0,2.8982506151469623,13.930608365019012,3266.7982370185414,queens,10986,26.355880000000003,807.6135899999999,80191.13,3790.562466401109
11,bedford,brooklyn,3588.0,1.1704326280273898,13.900501672240804,3065.53313200701,brooklyn,9367,15.9589,504.10648,94880.51,8003.023647577944
12,bedford park-fordham north,bronx,1721.0,0.5380109143925184,13.762347472399766,3198.8198639858897,bronx,1503,70.62603999999999,1152.20594,419642.23,2793.62362322533
13,bellerose,queens,6056.0,1.9794638342409496,13.572490092470277,3059.4143197984968,queens,5629,35.733599999999996,659.01387,88094.0,2843.699340512837
14,belmont,bronx,1413.0,0.4863026525123361,13.934890304317054,2905.597970112154,bronx,1251,53.7518,1118.78978,405826.29,2572.4720881884673
15,bensonhurst east,brooklyn,3244.0,1.283357279693176,14.024352651048089,2527.745041330636,brooklyn,8975,21.23879,645.19856,74897.27,6993.376000598785
