,ntaname,borough,#trees,area,health,trees/sq.mile,#properties,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,properties/sq.mile,center,hover
0,airport,queens,155.0,8.185520174113295,14.32258064516129,18.935876609306696,2.0,1995.0335,4694.5,0.2443338917329896,"[-73.74590558624465, 40.63648234062998]","airport<br>queens<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
1,allerton-pelham gardens,bronx,3609.0,1.1368315372977815,13.941535051260738,3174.6128442024897,5359.0,18.23883,512.23843,4713.979005841271,"[-73.84742515249926, 40.86447228407376]","allerton-pelham gardens<br>bronx<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
2,annadale-huguenot-prince's bay-eltingville,staten island,12538.0,5.059751935870848,13.418408039559738,2477.987094804491,8389.0,19.10656,619.1393499999998,1657.986420347334,"[-74.18769988091802, 40.528667188342695]","annadale-huguenot-prince's bay-eltingville<br>staten island<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
3,arden heights,staten island,6729.0,1.808239205015192,13.910685094367663,3721.2996938330766,7702.0,9.65568,448.18923,4259.392219037354,"[-74.18848303143372, 40.55265878945559]","arden heights<br>staten island<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
4,astoria,queens,4183.0,1.4109674008407431,14.040162562754006,2964.632632552322,8147.0,42.31469,895.9835,5774.052607555288,"[-73.91969736647455, 40.76149374605787]","astoria<br>queens<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
5,auburndale,queens,5039.0,1.2254976998895015,14.173447112522323,4111.798823004195,5362.0,24.65655,734.7030500000002,4375.365209158264,"[-73.78794899019378, 40.75103499619277]","auburndale<br>queens<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
6,baisley park,queens,4545.0,1.579666567776452,14.188118811881187,2877.189460556583,7611.0,21.57559,495.59920999999997,4818.105387083863,"[-73.7909871991165, 40.67895360053272]","baisley park<br>queens<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
7,bath beach,brooklyn,1671.0,0.7365781685462262,14.28485936564931,2268.598325820637,4365.0,21.5745,751.62478,5926.051281991073,"[-74.00748724138438, 40.60426980021233]","bath beach<br>brooklyn<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
8,battery park city-lower manhattan,manhattan,1266.0,0.6820441237516998,13.77567140600316,1856.1848946607024,9132.0,346.1688900000001,3078.14019,13389.16307902175,"[-74.00166155899859, 40.69488590018386]","battery park city-lower manhattan<br>manhattan<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
9,bay ridge,brooklyn,6606.0,2.409788466744547,14.187859521646988,2741.319452376763,10756.0,34.30495,968.2629099999999,4463.462311499313,"[-74.0298829583442, 40.62484722639537]","bay ridge<br>brooklyn<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
10,bayside-bayside hills,queens,9468.0,2.8982506151469623,13.930608365019012,3266.7982370185414,10986.0,26.355880000000006,807.6135899999998,3790.562466401109,"[-73.77342167984136, 40.76273865422307]","bayside-bayside hills<br>queens<br>trees/sq.mile: 0        18.935877
1      3174.612844
2      2477.987095
3      3721.299694
4      2964.632633
          ...     
192    4030.372441
193    2980.693636
194    2667.260036
195    2575.830528
196    4371.735539
Name: trees/sq.mile, Length: 197, dtype: float64<br>avg. landprice: 0      1995.03350
1        18.23883
2        19.10656
3         9.65568
4        42.31469
          ...    
192      20.10746
193      18.37999
194      16.15256
195      42.70711
196     162.70797
Name: avg.landprice_thous$/acre, Length: 197, dtype: float64<br>trees health: 0      14.322581
1      13.941535
2      13.418408
3      13.910685
4      14.040163
         ...    
192    14.098522
193    14.122851
194    14.251710
195    13.802682
196    13.124707
Name: health, Length: 197, dtype: float64/15"
